,New South Wales,Victoria,Queensland, South Australia,Western Australia,Tasmania,Australiaan Capital Territory,NorthernTerritory,Total(a),,,
,,,,,,,,,,,,
Occupied private dwellings,"3,058,269","2,507,636","1,998,032","723,158","1,029,762","229,427","85,374","174,972","9,808,428",,,
Unoccupied private dwellings,"299,524","298,029","192,393","83,821","118,109","29,185","10,404","11,988","1,043,776",,,
Non-private dwellings,"6,984","5,110","5,085","1,387","2,386",690,715,187,"22,616",,,
,,,,,,,,,,,,
Total(b),"3,364,802","2,810,815","2,195,595","808,379","1,150,416","259,318","96,564","187,153","10,875,248",,,
